report_date,statement,code,sector,level,is_priority_sector_memo,parent_code,parent_statement,date,outstanding_cr
2026-02-27,Statement 1,viii,Export Credit,2,True,,,2024-03-22,11848.864447
2026-02-27,Statement 1,viii,Export Credit,2,True,,,2025-01-24,12881.571997000001
2026-02-27,Statement 1,viii,Export Credit,2,True,,,2025-03-21,12478.775188000001
2026-02-27,Statement 1,viii,Export Credit,2,True,,,2026-01-31,10662.787879000001
2026-02-27,Statement 1,x,Weaker Sections including net PSLC- SF/MF,2,True,,,2024-01-26,1589097.062936
2026-02-27,Statement 1,x,Weaker Sections including net PSLC- SF/MF,2,True,,,2024-03-22,1617777.593105
2026-02-27,Statement 1,x,Weaker Sections including net PSLC- SF/MF,2,True,,,2025-01-24,1793997.235779
2026-02-27,Statement 1,x,Weaker Sections including net PSLC- SF/MF,2,True,,,2025-03-21,1864606.180081
2026-02-27,Statement 1,x,Weaker Sections including net PSLC- SF/MF,2,True,,,2026-01-31,2007818.807787
2026-02-27,Statement 2,2.1,Mining and Quarrying (incl. Coal),2,False,2,Statement 1,2024-01-26,52813.440034
2026-02-27,Statement 2,2.1,Mining and Quarrying (incl. Coal),2,False,2,Statement 1,2024-03-22,54220.184399
2026-02-27,Statement 2,2.1,Mining and Quarrying (incl. Coal),2,False,2,Statement 1,2025-01-24,53242.200694
2026-02-27,Statement 2,2.1,Mining and Quarrying (incl. Coal),2,False,2,Statement 1,2025-03-21,56817.556194
2026-02-27,Statement 2,2.1,Mining and Quarrying (incl. Coal),2,False,2,Statement 1,2026-01-31,64669.351834
2026-02-27,Statement 2,2.10,"Rubber, Plastic and their Products",2,False,2,Statement 1,2024-01-26,89909.777338
2026-02-27,Statement 2,2.10,"Rubber, Plastic and their Products",2,False,2,Statement 1,2024-03-22,90471.783405
2026-02-27,Statement 2,2.10,"Rubber, Plastic and their Products",2,False,2,Statement 1,2025-01-24,100175.937909
2026-02-27,Statement 2,2.10,"Rubber, Plastic and their Products",2,False,2,Statement 1,2025-03-21,103464.613501
2026-02-27,Statement 2,2.10,"Rubber, Plastic and their Products",2,False,2,Statement 1,2026-01-31,110155.84059
2026-02-27,Statement 2,2.11,Glass and Glassware,2,False,2,Statement 1,2024-01-26,11732.344266
2026-02-27,Statement 2,2.11,Glass and Glassware,2,False,2,Statement 1,2024-03-22,12090.217792
2026-02-27,Statement 2,2.11,Glass and Glassware,2,False,2,Statement 1,2025-01-24,12610.40886
2026-02-27,Statement 2,2.11,Glass and Glassware,2,False,2,Statement 1,2025-03-21,13442.791875
2026-02-27,Statement 2,2.11,Glass and Glassware,2,False,2,Statement 1,2026-01-31,13826.486687
2026-02-27,Statement 2,2.12,Cement and Cement Products,2,False,2,Statement 1,2024-01-26,59192.616085
2026-02-27,Statement 2,2.12,Cement and Cement Products,2,False,2,Statement 1,2024-03-22,59756.90776
2026-02-27,Statement 2,2.12,Cement and Cement Products,2,False,2,Statement 1,2025-01-24,60576.350899
2026-02-27,Statement 2,2.12,Cement and Cement Products,2,False,2,Statement 1,2025-03-21,59752.607309
2026-02-27,Statement 2,2.12,Cement and Cement Products,2,False,2,Statement 1,2026-01-31,64548.566153
2026-02-27,Statement 2,2.13,Basic Metal and Metal Product,2,False,2,Statement 1,2024-01-26,380536.272237
2026-02-27,Statement 2,2.13,Basic Metal and Metal Product,2,False,2,Statement 1,2024-03-22,384447.229472
2026-02-27,Statement 2,2.13,Basic Metal and Metal Product,2,False,2,Statement 1,2025-01-24,434354.303158
2026-02-27,Statement 2,2.13,Basic Metal and Metal Product,2,False,2,Statement 1,2025-03-21,433501.154395
2026-02-27,Statement 2,2.13,Basic Metal and Metal Product,2,False,2,Statement 1,2026-01-31,494119.017771
2026-02-27,Statement 2,2.13.1,Iron and Steel,3,False,2.13,Statement 2,2024-01-26,269706.620931
2026-02-27,Statement 2,2.13.1,Iron and Steel,3,False,2.13,Statement 2,2024-03-22,273802.563886
2026-02-27,Statement 2,2.13.1,Iron and Steel,3,False,2.13,Statement 2,2025-01-24,308144.839687
2026-02-27,Statement 2,2.13.1,Iron and Steel,3,False,2.13,Statement 2,2025-03-21,300156.039772
2026-02-27,Statement 2,2.13.1,Iron and Steel,3,False,2.13,Statement 2,2026-01-31,333268.398282
2026-02-27,Statement 2,2.13.2,Other Metal and Metal Product,3,False,2.13,Statement 2,2024-01-26,110829.651306
2026-02-27,Statement 2,2.13.2,Other Metal and Metal Product,3,False,2.13,Statement 2,2024-03-22,110644.665587
2026-02-27,Statement 2,2.13.2,Other Metal and Metal Product,3,False,2.13,Statement 2,2025-01-24,126209.463472
2026-02-27,Statement 2,2.13.2,Other Metal and Metal Product,3,False,2.13,Statement 2,2025-03-21,133345.114622
2026-02-27,Statement 2,2.13.2,Other Metal and Metal Product,3,False,2.13,Statement 2,2026-01-31,160850.619488
2026-02-27,Statement 2,2.14,All Engineering,2,False,2,Statement 1,2024-01-26,194249.257913
2026-02-27,Statement 2,2.14,All Engineering,2,False,2,Statement 1,2024-03-22,196864.053638
2026-02-27,Statement 2,2.14,All Engineering,2,False,2,Statement 1,2025-01-24,229143.368168
2026-02-27,Statement 2,2.14,All Engineering,2,False,2,Statement 1,2025-03-21,240135.894273
2026-02-27,Statement 2,2.14,All Engineering,2,False,2,Statement 1,2026-01-31,311363.243208
2026-02-27,Statement 2,2.14.1,Electronics,3,False,2.14,Statement 2,2024-01-26,44653.275364
2026-02-27,Statement 2,2.14.1,Electronics,3,False,2.14,Statement 2,2024-03-22,43395.914093
2026-02-27,Statement 2,2.14.1,Electronics,3,False,2.14,Statement 2,2025-01-24,51244.424535
